arm,display,group,label,rep,tau_hat,I_fit_selected,I_true_selected,I_fit_reference,I_true_reference,I_true_star,ceiling_error_selected,ceiling_error_reference,ceiling_error_uniform,ceiling_signed_selected,design_regret,design_regret_exhaustive,ridge_r2_selected,ridge_r2_oracle,ridge_loss_selected,ridge_regret,protocol_selected,protocol_star
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,mean,131,1.5736224437255177,0.4511132808714415,0.5009103893166198,0.32809802079952616,0.37826575557885156,0.5009103893166198,0.04979710844517832,0.0501677347793254,0.06201270102915879,-0.04979710844517832,0.0,0.0,0.5353327066919242,0.5010382183040609,0.46466729330807577,-0.03429448838786331,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,occupation,131,1.5736224437255177,0.41043725201809655,0.45683901792825254,0.2973998806820193,0.3430976496707513,0.45683901792825254,0.04640176591015599,0.04569776898873201,0.05656581811350453,-0.04640176591015599,0.0,0.0,0.4504026025829436,0.46949412772131127,0.5495973974170564,0.01909152513836765,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,mean,132,1.4341517468932266,0.4312896774611863,0.4855369825673625,0.30910703816406465,0.37826575557885156,0.5009103893166198,0.0542473051061762,0.06915871741478691,0.08543450544669912,-0.0542473051061762,0.015373406749257301,0.015373406749257301,0.45738505309518174,0.4956637667910031,0.5426149469048183,0.038278713695821365,t15.00+t17.00+t18.50+t19.75,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,occupation,132,1.4341517468932266,0.39339470080213484,0.44488131256162206,0.2800417021330688,0.3430976496707513,0.45683901792825254,0.05148661175948721,0.06305594753768251,0.07797836621102017,-0.05148661175948721,0.011957705366630489,0.011957705366630489,0.4111696618481142,0.4275184773591928,0.5888303381518858,0.016348815511078585,t15.00+t17.00+t18.50+t19.75,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,mean,133,1.5347867902207377,0.44571358029848196,0.5009103893166198,0.3229527158688026,0.37826575557885156,0.5009103893166198,0.05519680901813784,0.05531303971004897,0.06836905531618054,-0.05519680901813784,0.0,0.0,0.4570957962635589,0.4875614006139338,0.5429042037364411,0.03046560435037493,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,occupation,133,1.5347867902207377,0.40540670084414643,0.45683901792825254,0.2927001333247886,0.3430976496707513,0.45683901792825254,0.051432317084106116,0.05039751634596268,0.06237431597662707,-0.051432317084106116,0.0,0.0,0.44051949103770993,0.44178896843030013,0.5594805089622901,0.0012694773925902014,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,mean,134,1.807218993702867,0.4803374856611936,0.5009103893166198,0.35692567557539967,0.37826575557885156,0.5009103893166198,0.02057290365542619,0.02134008000345189,0.02634798700129315,-0.02057290365542619,0.0,0.0,0.5027061952000074,0.5248067579869142,0.49729380479999263,0.022100562786906863,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,occupation,134,1.807218993702867,0.4376679088917365,0.45683901792825254,0.3236872209722539,0.3430976496707513,0.45683901792825254,0.019171109036516032,0.019410428698497406,0.024010925396129368,-0.019171109036516032,0.0,0.0,0.45677252505334454,0.4599413502478479,0.5432274749466555,0.003168825194503344,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,mean,135,1.8715394425195073,0.48752017905621436,0.5009103893166198,0.36427473365058505,0.37826575557885156,0.5009103893166198,0.013390210260405433,0.013991021928266512,0.017262584847237694,-0.013390210260405433,0.0,0.0,0.5137062234025491,0.5191770930097548,0.4862937765974509,0.005470869607205664,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
copula_lognormal,lognormal calibration link $\to$ Gaussian (Pearson),calibration-link,occupation,135,1.8715394425195073,0.44436127402073244,0.45683901792825254,0.33037656610866784,0.3430976496707513,0.45683901792825254,0.0124777439075201,0.012721083562083457,0.015727554914809205,-0.0124777439075201,0.0,0.0,0.4431240617147616,0.4536349900433515,0.5568759382852384,0.010510928328589908,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
