r_max,scale,e_norm,dV_mean,dV_sigmoid,dV_occ_c0,dV_occ_c1
0.99,0.01,0.009999999999999992,2.3160322039678106e-05,2.51940750037212e-06,1.2351543718622932e-05,7.383003245578848e-06
0.99,0.01995262314968879,0.019952623149688785,3.762298266447861e-05,4.074544988112369e-06,1.894901465248275e-05,1.1397781128800675e-05
0.99,0.03981071705534969,0.03981041046011611,0.00010309046647243857,1.1178166617739627e-05,5.217816073694939e-05,3.1290737009138926e-05
0.99,0.07943282347242814,0.07913557094573108,0.00019948647109062356,2.145683979043328e-05,0.00013746615286028483,8.392624193843367e-05
0.999,1e-05,9.99999999999466e-06,2.136980236655539e-08,2.457254352078442e-09,2.8780784019910577e-08,1.7437428070574133e-08
0.999,1.9952623149688786e-05,1.995262314968659e-05,4.606432903175861e-08,5.300852132933409e-09,6.534849759654016e-08,3.9566128955115244e-08
0.999,3.9810717055349695e-05,3.981071705534773e-05,9.875376602852537e-08,1.1370050058412406e-08,1.5135947130096027e-07,9.164907853222159e-08
0.999,7.943282347242822e-05,7.943282347243733e-05,2.4237140989480375e-07,2.792550208886857e-08,3.491346911584092e-07,2.1136983473224458e-07
0.999,0.00015848931924611142,0.00015848931924611207,4.04023494141037e-07,4.648219401534592e-08,5.77810452153521e-07,3.499321288267382e-07
0.999,0.00031622776601683794,0.0003162277660168478,8.923841319063986e-07,1.0270291715859525e-07,1.2283596141020315e-06,7.435885851881513e-07
0.999,0.000630957344480193,0.0006309573444801885,1.5788263239530087e-06,1.8190353505420642e-07,2.416048099167234e-06,1.4634059972779694e-06
0.999,0.0012589254117941675,0.0012589254117941733,2.5227246088554977e-06,2.9024835617140475e-07,3.926240556592631e-06,2.3798257143246156e-06
0.999,0.0025118864315095794,0.002511886431509569,5.177555545932133e-06,5.957592096959147e-07,7.531376444010196e-06,4.563222997401237e-06
0.999,0.005011872336272719,0.005010680455031464,1.0783695227936652e-05,1.2394212772527669e-06,2.224831717794473e-05,1.3492942698546673e-05
0.999,0.01,0.009949794070615622,2.4527782355623916e-05,2.8182174025687816e-06,6.0876425906737644e-05,3.6951522015683805e-05
0.999,0.01995262314968879,0.019598998326754387,4.9790508770836126e-05,5.706125632883724e-06,0.0001790895543227651,0.00010876927273899482
0.999,0.03981071705534969,0.03838706877667829,0.00015975552379202395,1.8240367894178586e-05,0.0004246588893214318,0.0002580606463925994
0.999,0.07943282347242814,0.07345336723326427,0.00045078842576134483,5.088929196775289e-05,0.0007975397684618024,0.0004857160361781972
0.9999,1e-05,9.999999999998883e-06,2.374262103588265e-08,2.7541056338287183e-09,1.1458409239634149e-07,6.948832092651402e-08
0.9999,1.9952623149688786e-05,1.9952623149685588e-05,4.72219813696384e-08,5.478664045002746e-09,2.3228226741431323e-07,1.4087119347139242e-07
0.9999,3.9810717055349695e-05,3.981071705535622e-05,9.989200144000509e-08,1.1590029691879721e-08,5.061763125487062e-07,3.0697293621415043e-07
0.9999,7.943282347242822e-05,7.943282347242708e-05,1.9299384992066403e-07,2.2390698143151534e-08,9.396594551173976e-07,5.698420124863879e-07
0.9999,0.00015848931924611142,0.00015848931924610383,3.848186198224246e-07,4.464314673734149e-08,2.0453996618381707e-06,1.2404399851687064e-06
0.9999,0.00031622776601683794,0.00031622776601684884,8.507413007619036e-07,9.870361196220868e-08,4.09421593036488e-06,2.4829591548841678e-06
