kernel,label,m,rep,eps_m,I_star,regret_robust,regret_plugin_greedy,regret_plugin_exhaustive,diff_robust_minus_plugin,robust_wins,tie,same_protocol
trait_ou,mean,25,78,0.19866606992915375,0.6907252995047104,0.027577804294958486,0.02916030775861367,0.02916030775861367,-0.0015825034636551827,1,0,0
trait_ou,mean,25,79,0.18238266039883017,0.6907252995047104,0.035523068784319656,0.0067132857639981,0.035523068784319656,0.028809783020321555,0,0,0
trait_ou,mean,25,80,0.201754049795277,0.6907252995047104,0.009357104428705854,6.460355991932953e-05,0.029179799102833637,0.009292500868786524,0,0,0
trait_ou,mean,25,81,0.13902426098494042,0.6907252995047104,0.05905312172074739,0.028998518687603614,0.04519404508679681,0.03005460303314378,0,0,0
trait_ou,mean,25,82,0.2293075298374857,0.6907252995047104,0.10630775285193905,0.05175141822153284,0.006429936994737262,0.05455633463040621,0,0,0
trait_ou,mean,25,83,0.28796268303942046,0.6907252995047104,0.02518490160958997,0.12015953256058953,0.12015953256058953,-0.09497463095099956,1,0,0
trait_ou,mean,25,84,0.17578659824873027,0.6907252995047104,0.032072885935650164,0.048936393040270976,0.048936393040270976,-0.016863507104620812,1,0,0
trait_ou,mean,25,85,0.206309294867336,0.6907252995047104,0.05973707202174905,0.033776082440184596,0.07925824939120163,0.025960989581564453,0,0,0
trait_ou,mean,25,86,0.12672445077986316,0.6907252995047104,6.460355991932953e-05,6.460355991932953e-05,0.029160307758613557,0.0,0,1,1
trait_ou,mean,25,87,0.23127093717653513,0.6907252995047104,0.035523068784319656,0.035523068784319656,0.035523068784319656,0.0,0,1,1
trait_ou,mean,25,88,0.36457951473787203,0.6907252995047104,0.014335910833008558,0.014335910833008558,0.014335910833008558,0.0,0,1,1
trait_ou,mean,25,89,0.25671628612994546,0.6907252995047104,0.11475292283343452,0.07178764786250147,0.01673717695478616,0.042965274970933054,0,0,0
trait_ou,mean,25,90,0.19593733626512527,0.6907252995047104,0.10148145039834011,0.0034570449424917715,0.0034570449424917715,0.09802440545584834,0,0,0
