route,label,budget,D,M,ceiling_dispersed_mean,ceiling_consecutive_mean
gaussian_latent,REM,8,2,4,0.09238651676249512,0.04773479078902524
gaussian_latent,REM,8,4,2,0.17246855034741387,0.07702068809110071
gaussian_latent,REM,8,8,1,0.3335517451185922,0.12851604063129565
gaussian_latent,REM,16,2,8,0.09507762849021231,0.05045859675193519
gaussian_latent,REM,16,4,4,0.18438542441518196,0.0834328092630685
gaussian_latent,REM,16,8,2,0.36686856376326743,0.1435342870162077
gaussian_latent,REM,16,16,1,0.535716526257515,0.2850084391592427
gaussian_latent,REM,32,4,8,0.19123900833348634,0.08780701808989257
gaussian_latent,REM,32,8,4,0.3867915985648166,0.15488189917740358
gaussian_latent,REM,32,16,2,0.5829389964288715,0.3183146845511191
gaussian_latent,REM,32,32,1,0.7269621773060401,0.5376483117462293
gaussian_latent,REM,64,8,8,0.3979502564178687,0.16272154230030447
gaussian_latent,REM,64,16,4,0.6119746145777395,0.3441866031770559
gaussian_latent,REM,64,32,2,0.7827449348019879,0.5836914754424359
gaussian_latent,REM,64,64,1,0.8417242480637055,0.7579965654337781
gaussian_latent,N3,4,1,4,0.10164860183047741,0.09268142537198372
gaussian_latent,N3,4,2,2,0.17343765530015634,0.12817112413877646
gaussian_latent,N3,4,4,1,0.28084394591461653,0.1505056456954333
gaussian_latent,N3,8,1,8,0.10512274472156724,0.09567161386010385
gaussian_latent,N3,8,2,4,0.1927468477525889,0.1367316434678849
gaussian_latent,N3,8,4,2,0.32068996554961826,0.1667541197450807
gaussian_latent,N3,8,8,1,0.3978879258185973,0.1971298381843817
gaussian_latent,N3,16,2,8,0.20460036997317532,0.14203187615249563
gaussian_latent,N3,16,4,4,0.3464990145114605,0.17836675388494533
gaussian_latent,N3,16,8,2,0.464290271632831,0.219385566733639
gaussian_latent,N3,16,16,1,0.6015631439900637,0.36547424958890484
gaussian_latent,N3,32,4,8,0.36166419524391447,0.1859597593683937
gaussian_latent,N3,32,8,4,0.5102444291733435,0.23725560771665405
gaussian_latent,N3,32,16,2,0.672717408961113,0.4167252613696455
gaussian_latent,N3,32,32,1,0.7756163690744391,0.5680709028324584
gaussian_latent,N3,64,8,8,0.5391351321278699,0.2504237438215792
gaussian_latent,N3,64,16,4,0.720565256473495,0.45848550596797055
gaussian_latent,N3,64,32,2,0.8340046490402686,0.6241657780720311
gaussian_latent,N3,64,64,1,0.858284275802635,0.801110033379732
gaussian_latent,wake,4,1,4,0.06197554965825179,0.11344270638096392
gaussian_latent,wake,4,2,2,0.4141929703776846,0.11603698165311031
gaussian_latent,wake,4,4,1,0.5625256184578756,0.12917209983668385
gaussian_latent,wake,8,1,8,0.06528680373796454,0.11970015531974258
gaussian_latent,wake,8,2,4,0.43788766066189905,0.12577034670018147
gaussian_latent,wake,8,4,2,0.5970382176361246,0.14339152970617602
gaussian_latent,wake,8,8,1,0.6800370105935138,0.215638464959326
gaussian_latent,wake,16,2,8,0.45087205208936565,0.13172906430809647
gaussian_latent,wake,16,4,4,0.6165499632454525,0.15314033021023654
gaussian_latent,wake,16,8,2,0.7247858791183619,0.24002348536076662
gaussian_latent,wake,16,16,1,0.8416617795946436,0.40762489798232043
gaussian_latent,wake,32,4,8,0.6270168304199952,0.15940105732246632
gaussian_latent,wake,32,8,4,0.7505941675186744,0.2578299668381218
gaussian_latent,wake,32,16,2,0.8750402234167318,0.44907915747925414
gaussian_latent,wake,32,32,1,0.9138481241429289,0.6849324063601984
gaussian_latent,wake,64,8,8,0.7646777371080204,0.2697345312782008
gaussian_latent,wake,64,16,4,0.8944808486011088,0.48041576914746004
gaussian_latent,wake,64,32,2,0.9369055029389323,0.731940426952951
gaussian_latent,wake,64,64,1,0.9561995785806655,0.8992132092511269
