alpha,label,protocol,model,n_train,n_train_used,is_reference,seed_index,seed_key,r2_test,r2_bayes_test,r2_best_linear_test,hyperparameter,ceiling,label_variance,ceiling_best_linear,r2_class_reference,protocol_gap,approximation_gap,estimation_gap,protocol_gap_paired,approximation_gap_paired,approximation_gap_exact_linear,ceiling_utilization,absolute_gap,protocol_share_of_residual
0.0,occupation,dispersed,mlp,2500,2500,0,0,"[20260802, 0, 0]",0.3238797481360163,0.3321312008012557,0.3300964091466754,weight_decay=0.1,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.32693449140453157,0.6711715461902938,0.0018939624051745318,0.003054743268515292,0.6678687991987443,0.00519670939672412,nan,0.9849504943493921,0.004948705673689824,0.9926807314822372
0.0,occupation,dispersed,ridge,5000,5000,0,0,"[20260802, 0, 0]",0.32741550182607815,0.3321312008012557,0.3300964091466754,cv-alpha,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.32967963267662725,0.6711715461902938,-0.000851178866921154,0.0022641308505491065,0.6678687991987443,0.0024515681246284338,0.0020096908091006838,0.995703072628728,0.0014129519836279525,0.9978992201166333
0.0,occupation,dispersed,gp,5000,1500,0,0,"[20260802, 0, 0]",0.3068743914714289,0.3321312008012557,0.3300964091466754,reg=10,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.3227924811758065,0.6711715461902938,0.0060359726338996,0.01591808970437758,0.6678687991987443,0.009338719625449188,nan,0.9332355151024064,0.02195406233827718,0.9683259973832401
0.0,occupation,dispersed,mlp,5000,5000,0,0,"[20260802, 0, 0]",0.32675954984778055,0.3321312008012557,0.3300964091466754,weight_decay=0.01,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.32693449140453157,0.6711715461902938,0.0018939624051745318,0.0001749415567510182,0.6678687991987443,0.00519670939672412,nan,0.9937082574881952,0.00206890396192555,0.9969269464402238
0.0,occupation,dispersed,ridge,20000,20000,1,0,"[20260802, 0, 0]",0.32967963267662725,0.3321312008012557,0.3300964091466754,cv-alpha,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.32967963267662725,0.6711715461902938,-0.000851178866921154,0.0,0.6678687991987443,0.0024515681246284338,0.0020096908091006838,1.002588519506325,-0.000851178866921154,1.0012698090471575
0.0,occupation,dispersed,gp,20000,1500,1,0,"[20260802, 0, 0]",0.3227924811758065,0.3321312008012557,0.3300964091466754,reg=3,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.3227924811758065,0.6711715461902938,0.0060359726338996,0.0,0.6678687991987443,0.009338719625449188,nan,0.9816440074939724,0.0060359726338996,0.991086967486156
0.0,occupation,dispersed,mlp,20000,20000,1,0,"[20260802, 0, 0]",0.32693449140453157,0.3321312008012557,0.3300964091466754,weight_decay=0.1,0.3288284538097061,0.016804686944287432,0.3268187630006054,0.32693449140453157,0.6711715461902938,0.0018939624051745318,0.0,0.6678687991987443,0.00519670939672412,nan,0.9942402721442392,0.0018939624051745318,0.9971860652774692
0.0,mean,same_time,ridge,100,100,0,0,"[20260802, 0, 0]",0.08294773153566126,0.09102840857111061,0.09102840857095873,cv-alpha,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.09063130305090472,0.9062709917195343,0.0030977052295609875,0.007683571515243459,0.9089715914288894,0.0003971055202058871,-8.331474399270178e-12,0.8849739590485841,0.010781276744804447,0.9882435526135731
0.0,mean,same_time,gp,100,100,0,0,"[20260802, 0, 0]",0.038692911777114536,0.09102840857111061,0.09102840857095873,reg=0.01,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.08791552720452045,0.9062709917195343,0.005813481075945259,0.049222615427405914,0.9089715914288894,0.003112881366590159,nan,0.41281682679639126,0.05503609650335117,0.9427486833524827
0.0,mean,same_time,mlp,100,100,0,0,"[20260802, 0, 0]",0.07966449592399816,0.09102840857111061,0.09102840857095873,weight_decay=1,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.09040387888808588,0.9062709917195343,0.003325129392379833,0.010739382964087718,0.9089715914288894,0.0006245296830247327,nan,0.8499449357835703,0.014064512356467551,0.9847180595617812
0.0,mean,same_time,ridge,250,250,0,0,"[20260802, 0, 0]",0.07418759814515996,0.09102840857111061,0.09102840857095873,cv-alpha,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.09063130305090472,0.9062709917195343,0.0030977052295609875,0.01644370490574476,0.9089715914288894,0.0003971055202058871,-8.331474399270178e-12,0.7915116089051971,0.019541410135305748,0.9788926891709864
0.0,mean,same_time,gp,250,250,0,0,"[20260802, 0, 0]",0.05020236625375851,0.09102840857111061,0.09102840857095873,reg=30,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.08791552720452045,0.9062709917195343,0.005813481075945259,0.03771316095076194,0.9089715914288894,0.003112881366590159,nan,0.5356118364502243,0.043526642026707196,0.9541727200824589
0.0,mean,same_time,mlp,250,250,0,0,"[20260802, 0, 0]",0.07082451613761609,0.09102840857111061,0.09102840857095873,weight_decay=1,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.09040387888808588,0.9062709917195343,0.003325129392379833,0.019579362750469786,0.9089715914288894,0.0006245296830247327,nan,0.7556307000036487,0.02290449214284962,0.9753496594124066
0.0,mean,same_time,ridge,500,500,0,0,"[20260802, 0, 0]",0.07564760757870548,0.09102840857111061,0.09102840857095873,cv-alpha,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.09063130305090472,0.9062709917195343,0.0030977052295609875,0.014983695472199243,0.9089715914288894,0.0003971055202058871,-8.331474399270178e-12,0.807088530717671,0.01808140070176023,0.9804388446981817
0.0,mean,same_time,gp,500,500,0,0,"[20260802, 0, 0]",0.07125409252529769,0.09102840857111061,0.09102840857095873,reg=3,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.08791552720452045,0.9062709917195343,0.005813481075945259,0.016661434679222764,0.9089715914288894,0.003112881366590159,nan,0.7602138743651673,0.022474915755168023,0.9758007916112619
0.0,mean,same_time,mlp,500,500,0,0,"[20260802, 0, 0]",0.07125737528348319,0.09102840857111061,0.09102840857095873,weight_decay=1,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.09040387888808588,0.9062709917195343,0.003325129392379833,0.019146503604602683,0.9089715914288894,0.0006245296830247327,nan,0.7602488982947462,0.022471632996982516,0.9758042407024857
0.0,mean,same_time,ridge,1000,1000,0,0,"[20260802, 0, 0]",0.08262385753619605,0.09102840857111061,0.09102840857095873,cv-alpha,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.09063130305090472,0.9062709917195343,0.0030977052295609875,0.008007445514708667,0.9089715914288894,0.0003971055202058871,-8.331474399270178e-12,0.8815185293432353,0.011105150744269654,0.9878946593112347
0.0,mean,same_time,gp,1000,1000,0,0,"[20260802, 0, 0]",0.07723474333534819,0.09102840857111061,0.09102840857095873,reg=10,0.09372900828046571,0.09521352791540096,0.09372900828879718,0.08791552720452045,0.9062709917195343,0.005813481075945259,0.010680783869172261,0.9089715914288894,0.003112881366590159,nan,0.8240217703385737,0.01649426494511752,0.9821251777459239
