config,cid,arm,m,rep,label,I_true_ref,I_hat_ref,ref_err,uniform_err,k_err,r_eff,nu2_used,ci_lo,ci_hi,ci_width,covered,bound,bound_ratio,bound_lt_one,small_pert_ok
ou_alpha0_nu0,4,known,100,170,occ_c1,0.2131886770478779,0.23585263047959043,0.02266395343171254,0.10004039350449201,5.093296829017387,8.431505216227285,0.0,0.16673797068379,0.3281381188899999,0.16140014820620988,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,171,mean,0.26799418107294054,0.3068183576769734,0.03882417660403287,0.12894521253946198,5.555223088702056,7.8821666196775135,0.0,0.2060281951354139,0.4207659377256642,0.21473774259025027,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,171,sigmoid,0.26258063840905604,0.300639559426769,0.038058921017712966,0.1261783832869941,5.555223088702056,7.8821666196775135,0.0,0.2023660530094542,0.4123604891781885,0.2099944361687343,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,171,occ_c0,0.24401651828426504,0.2795771317687184,0.03556061348445336,0.11716109332511493,5.555223088702056,7.8821666196775135,0.0,0.18694675554117923,0.3865805855564954,0.19963383001531615,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,171,occ_c1,0.2131886770478779,0.24743120493180137,0.034242527883923485,0.09672724796090554,5.555223088702056,7.8821666196775135,0.0,0.1767073085083991,0.3340134003615249,0.15730609185312577,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,172,mean,0.26799418107294054,0.24190628647696594,-0.026087894595974603,0.13149891049072765,5.668920287392477,8.001125287268605,0.0,0.16091330577896606,0.3669369497151859,0.20602364393621986,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,172,sigmoid,0.26258063840905604,0.2360044068117782,-0.026576231597277844,0.12875803996363866,5.668920287392477,8.001125287268605,0.0,0.15723415381449604,0.35888159667352726,0.20164744285903122,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,172,occ_c0,0.24401651828426504,0.21606077730805673,-0.027955740976208315,0.12009948958061907,5.668920287392477,8.001125287268605,0.0,0.1427134610306963,0.3295993276880904,0.18688586665739412,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,172,occ_c1,0.2131886770478779,0.18886259155366492,-0.024326085494212973,0.09181650785460614,5.668920287392477,8.001125287268605,0.0,0.13176853363848826,0.2776635628191432,0.14589502918065492,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,173,mean,0.26799418107294054,0.3188128781190477,0.05081869704610714,0.15685920540420026,4.574569773023403,8.488576534284725,0.0,0.19852414610963573,0.4482990050528428,0.24977485894320708,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,173,sigmoid,0.26258063840905604,0.31303240612377975,0.050451767714723705,0.1542283989897826,4.574569773023403,8.488576534284725,0.0,0.19491374133676181,0.4414616957274719,0.2465479543907101,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,173,occ_c0,0.24401651828426504,0.2932479241379632,0.049231405853698146,0.14572608324185776,4.574569773023403,8.488576534284725,0.0,0.1789129058634145,0.4188150498906414,0.2399021440272269,1,inf,inf,0,0
ou_alpha0_nu0,4,known,100,173,occ_c1,0.2131886770478779,0.256700178362855,0.043511501314977136,0.12275402227730042,4.574569773023403,8.488576534284725,0.0,0.15566571658336306,0.36261000072205657,0.2069442841386935,1,inf,inf,0,0
