p,d_obs,n_directions,eps,ceiling_gap,observed_discrepancy,I_plus,I_minus
8,1,26,0.3096569639430373,0.168674354044614,2.7755575615628914e-17,0.1911492150531474,0.022474861008533395
8,1,26,0.2595614449098455,0.002990069174492087,8.326672684688674e-17,0.0042305743269153455,0.007220643501407433
8,1,26,0.41360819826311357,0.1381142634738069,2.7755575615628914e-17,0.16660619461249465,0.30472045808630155
8,1,26,0.32796066430821175,0.23276690223656185,9.71445146547012e-17,0.29247653372136345,0.0597096314848016
8,1,26,0.266904125228891,0.08485454140892587,5.551115123125783e-17,0.15178633825931953,0.06693179685039366
8,1,26,0.16281063191774967,0.004602505308891653,2.7755575615628914e-17,0.0031909334310060372,0.007793438739897691
8,1,26,0.18172242346450881,0.04262183152856591,0.0,0.0002569736986279893,0.0428788052271939
8,1,26,0.22504013187627533,0.1530195136072674,2.7755575615628914e-17,0.48231846223141783,0.32929894862415043
8,1,26,0.5772902003988074,0.1530368822211815,1.3877787807814457e-17,0.0008920256308590394,0.15392890785204055
8,1,26,0.48742853333187414,0.3162889038943844,0.0,0.3628874203476053,0.04659851645322087
8,1,26,0.3076582212142492,0.06645179598077118,2.7755575615628914e-17,0.047379702474943886,0.11383149845571507
8,1,26,0.3220197558055384,0.17905103836248212,2.7755575615628914e-17,0.2995149154190389,0.12046387705655678
8,1,26,0.6557738103776277,0.23043272270630055,4.163336342344337e-17,0.044761689047402395,0.27519441175370296
8,1,26,0.3491930661238441,0.1286749714624087,5.551115123125783e-17,0.23148401737516058,0.1028090459127519
8,1,26,0.41027204867352257,0.16204129206966772,0.0,0.18527925695208827,0.02323796488242056
8,1,26,0.15551366481559492,0.15133168696250665,0.0,0.3851802323354369,0.23384854537293026
8,1,26,0.23669436205510358,0.03609052620189852,0.0,0.0009989525065315027,0.037089478708430025
8,1,26,0.37512498204920214,0.2454819274622691,5.551115123125783e-17,0.10351021811939182,0.3489921455816609
8,1,26,0.30866618983729455,0.1412648084831219,2.7755575615628914e-17,0.4146746902089184,0.5559394986920403
8,1,26,0.28125436407701315,0.041473654177519775,0.0,0.0009202487191709119,0.042393902896690684
8,1,26,0.44382636999247316,0.32819101243022863,1.3877787807814457e-17,0.3055908006788641,0.6337818131090928
8,1,26,0.6199358354243083,0.19501359473032437,0.0,0.11666990950070864,0.311683504231033
8,1,26,0.34370722311977586,0.0767996152611104,1.3877787807814457e-17,0.033193194518357845,0.10999280977946824
8,1,26,0.07893869676378125,0.1012605755561844,5.551115123125783e-17,0.6370737782325423,0.5358132026763579
8,1,26,0.24270798278709368,0.20569986230827422,0.0,0.4479740835823969,0.24227422127412265
8,1,26,0.3981314069145283,0.10804653594484509,5.551115123125783e-17,0.10863665980332167,0.0005901238584765828
8,1,26,0.17202333345370296,0.17917849053422663,1.3877787807814457e-17,0.6526337408609182,0.8318122313951448
8,1,26,0.46442929639679625,0.18215586716802762,5.551115123125783e-17,0.4501793452634797,0.2680234780954521
8,1,26,0.27995936398558663,0.10579846111748265,2.7755575615628914e-17,0.48743337773467865,0.381634916617196
8,1,26,0.10944175743077376,0.06046093106156425,1.3877787807814457e-17,0.2810967516253344,0.3415576826868986
8,1,26,0.525916135708491,0.011069631996174792,4.85722573273506e-17,0.02020549226812826,0.03127512426430305
8,1,26,0.25897424934128754,0.15866336525571537,1.3877787807814457e-17,0.053488464297042904,0.21215182955275827
8,1,26,0.32530505124586956,0.34436773664606035,6.938893903907228e-18,0.49354607852584087,0.8379138151719012
8,1,26,0.19246593650907112,0.19958750045221701,0.0,0.3718440884541882,0.1722565880019712
8,1,26,0.408726708740416,0.03374344921306807,2.7755575615628914e-17,0.034668128062911585,0.0009246788498435132
8,1,26,0.14926499047766936,0.008536714286149712,2.7755575615628914e-17,0.010742669483087034,0.002205955196937321
8,1,26,0.3823598309872327,0.1935858538273965,1.3877787807814457e-17,0.20268878860241693,0.009102934775020438
8,1,26,0.316866277066218,0.21213166383057885,2.7755575615628914e-17,0.004752157293221984,0.21688382112380084
8,1,26,0.3946863691748929,0.10684527244309017,2.7755575615628914e-17,0.14389749534561846,0.0370522229025283
8,1,26,0.11688369109757801,0.05513299034400518,2.7755575615628914e-17,0.11082034034408092,0.1659533306880861
8,1,26,0.4212563996929964,0.14868303270864008,1.3877787807814457e-17,0.2588079066395258,0.4074909393481659
8,1,26,0.2894662936838333,0.11218181719212172,2.7755575615628914e-17,0.22578723147363833,0.1136054142815166
8,1,26,0.467541951348609,0.14947526496270538,2.7755575615628914e-17,0.19965460402843369,0.0501793390657283
8,1,26,0.22299555415853767,0.13579981185913764,1.3877787807814457e-17,0.47386131215557475,0.3380615002964371
8,1,26,0.32107936676770815,0.18376462324960058,2.7755575615628914e-17,0.5021128085984805,0.31834818534887993
8,1,26,0.23951016685785206,0.17055475978281748,6.938893903907228e-18,0.05054829361992819,0.22110305340274566
8,1,26,0.13192594698993879,0.07804688294467968,0.0,0.24169547563058294,0.16364859268590326
8,1,26,0.28333461971048196,0.1361450413798621,2.7755575615628914e-17,0.20655169445030538,0.07040665307044326
8,1,26,0.4013059803093769,0.001767698527796839,0.0,0.019730476411710614,0.021498174939507453
8,1,26,0.2800993696549826,0.18241727544730202,2.0816681711721685e-17,0.5605104442944688,0.3780931688471668
8,1,26,0.5160952665403085,0.0007935120695856781,4.163336342344337e-17,0.007519611979483298,0.008313124049068976
8,1,26,0.5026128988363565,0.08766193473170449,2.7755575615628914e-17,0.08787144693135213,0.00020951219964763842
8,1,26,0.17157841662724815,0.1506361405191603,2.7755575615628914e-17,0.4460312576163303,0.29539511709717
8,1,26,0.33415353814285537,0.16914528044661326,0.0,0.3413119643987138,0.5104572448453271
8,1,26,0.16120287349968773,0.09458588872558157,2.7755575615628914e-17,0.22432052907736327,0.1297346403517817
8,1,26,0.3212025518741097,0.13241697403658878,0.0,0.1368606293118718,0.004443655275283002
8,1,26,0.26309585911562244,0.1102167969363822,1.3877787807814457e-17,0.05979061066086635,0.17000740759724856
8,1,26,0.31460790458401405,0.3814758111759672,5.551115123125783e-17,0.4025204117124841,0.7839962228884513
8,1,26,0.3996871742215132,0.3956606204663862,2.7755575615628914e-17,0.26433884264758184,0.6599994631139681
8,1,26,0.3487070869110103,0.08877051162151466,6.938893903907228e-18,0.023300741093481972,0.11207125271499663
8,2,24,0.3573676964768829,0.2531763614565209,2.7755575615628914e-17,0.744881301092431,0.4917049396359101
8,2,24,0.38619949862215863,0.4121713594994376,5.551115123125783e-17,0.42911914163490006,0.8412905011343377
8,2,24,0.2255581645038956,0.12286408470212742,2.7755575615628914e-17,0.3097587063603264,0.18689462165819895
8,2,24,0.5064966362004144,0.2595621115585184,2.7755575615628914e-17,0.3595808876683515,0.6191429992268699
8,2,24,0.5588214053270243,0.2575681419139974,8.326672684688674e-17,0.42715475239169975,0.16958661047770235
8,2,24,0.31860538714786346,0.31854787347383845,5.551115123125783e-17,0.34157667750293935,0.6601245509767778
8,2,24,0.33280573822365334,0.44706233450613053,1.3877787807814457e-17,0.17263789694305362,0.6197002314491842
