r_max,scale,e_norm,dV_mean,dV_sigmoid,dV_occ_c0,dV_occ_c1
0.99,7.459801523487941e-06,7.459801523492893e-06,2.1156632727207617e-08,2.311701000530982e-09,9.2699541968481e-09,5.5260025162244075e-09
0.99,2.037468528039706e-05,2.0374685280399502e-05,5.583578005878091e-08,6.028296286227549e-09,2.2201651272979463e-08,1.322249132268416e-08
0.99,5.564863876983289e-05,5.5648638769842996e-05,9.140556081292199e-08,1.005209951480494e-08,5.4029558361571676e-08,3.252629996175482e-08
0.99,0.0001519911082952933,0.0001519911082952889,4.043256970713098e-07,4.462705008867474e-08,2.074403008608024e-07,1.2392350088689477e-07
0.99,0.0004151278002752295,0.00041512780027522207,9.123997470217304e-07,9.876913812332614e-08,3.99869634638376e-07,2.385297212983972e-07
0.99,0.0011338235012178484,0.001133823501217849,2.423257970292821e-06,2.6341853155235445e-07,1.2833638030146367e-06,7.698266766391811e-07
0.99,0.0030967709969353515,0.00309677099693536,5.5693297676924955e-06,6.152022109124725e-07,3.265293206765792e-06,1.968331854290221e-06
0.99,0.008458098281751338,0.008458098281751338,1.6747877647719603e-05,1.8352480164018914e-06,8.828238823489302e-06,5.287909452570313e-06
0.99,0.02310129700083158,0.023101297000831574,5.585401031084069e-05,6.035206631586446e-06,2.76730091266895e-05,1.6583990164672582e-05
0.99,0.06309573444801933,0.06303667132261029,0.0001554120764171311,1.6953104827314067e-05,0.00010354862631539082,6.305166152365029e-05
0.999,1e-06,1.000000000009337e-06,2.1484544254768425e-09,2.464679659438159e-10,2.6316278341672234e-09,1.5931260750427316e-09
0.999,2.7312637228008467e-06,2.7312637227951436e-06,5.269897325928715e-09,6.074855674054191e-10,8.770370920248757e-09,5.3131118120849e-09
0.999,7.459801523487941e-06,7.4598015234751065e-06,1.5581309649922066e-08,1.7921654600165187e-09,2.442736523056155e-08,1.479284345342243e-08
0.999,2.037468528039706e-05,2.0374685280400925e-05,4.675065867395152e-08,5.388784235967521e-09,6.978783952763893e-08,4.227437000782948e-08
0.999,5.564863876983289e-05,5.564863876983795e-05,1.0085116303922467e-07,1.16013587639352e-08,1.588660726470348e-07,9.622202368636535e-08
0.999,0.0001519911082952933,0.00015199110829528507,3.24704669796283e-07,3.7432758683009216e-08,5.249332172441167e-07,3.179983743185436e-07
0.999,0.0004151278002752295,0.00041512780027522575,1.0721605689378855e-06,1.2357039799922494e-07,1.4705358273636725e-06,8.902144773129117e-07
0.999,0.0011338235012178484,0.0011338235012178523,3.0372658918994174e-06,3.499282798256435e-07,4.769628668375529e-06,2.8896684975655377e-06
0.999,0.0030967709969353515,0.003096770996935361,7.289235365641004e-06,8.383057604542203e-07,1.0288393266163116e-05,6.232343164525959e-06
