kernel,label,m,rep,k_error_op,eps_m,I_star,I_true_at_Shat,regret_exhaustive,bound_2eps,slack_exhaustive,bound_holds_exhaustive,eta_hat,n_greedy_actions,greedy_is_optimal,I_true_at_Sgreedy,regret_greedy,eta_bound_rhs,slack_eta,bound_holds_eta,Ihat_at_Shat,Ihat_at_Sgreedy,ceiling_from_designresult
trait_ou,mean,25,15,13.032020014297078,0.18289232297869373,0.6907252995047104,0.6813681950760045,0.009357104428705854,0.36578464595738747,0.3564275415286816,1,1.0,4,1,0.6813681950760045,0.009357104428705854,0.32494065354732293,0.3564275415286816,1,0.8185694179871726,0.8185694179871726,0.8185694179871726
trait_ou,mean,25,16,13.049145440120876,0.2400500664617899,0.6907252995047104,0.6695730309053692,0.021152268599341162,0.4801001329235798,0.4589478643242386,1,1.0,4,1,0.6695730309053692,0.021152268599341162,0.21062516658113062,0.4589478643242386,1,0.8084573189516885,0.8084573189516885,0.8084573189516886
trait_ou,mean,25,17,11.564338177674172,0.16495611641025193,0.6907252995047104,0.6759049040806315,0.01482039542407887,0.32991223282050386,0.315091837396425,1,1.0,4,1,0.6759049040806315,0.01482039542407887,0.36081306668420654,0.315091837396425,1,0.7757884871260645,0.7757884871260645,0.7757884871260645
trait_ou,mean,25,18,16.90743640925929,0.26825571693480404,0.6907252995047104,0.6453756544913476,0.045349645013362805,0.5365114338696081,0.4911617888562453,1,1.0,4,1,0.6453756544913476,0.045349645013362805,0.1542138656351023,0.4911617888562453,1,0.6796173811328327,0.6796173811328327,0.6796173811328325
trait_ou,mean,25,19,14.496893379017935,0.24596858358696527,0.6907252995047104,0.6907252995047104,0.0,0.49193716717393055,0.49193716717393055,1,1.0,4,1,0.6907252995047104,0.0,0.19878813233077985,0.49193716717393055,1,0.7075354987005155,0.7075354987005155,0.7075354987005155
trait_ou,mean,25,20,13.428551002875023,0.20851965360958802,0.6907252995047104,0.6759049040806315,0.01482039542407887,0.41703930721917604,0.40221891179509717,1,1.0,4,1,0.6759049040806315,0.01482039542407887,0.27368599228553436,0.40221891179509717,1,0.7614061752243602,0.7614061752243602,0.7614061752243602
trait_ou,mean,25,21,14.049733133698666,0.20082907256859517,0.6907252995047104,0.6829313360348731,0.007793963469837295,0.40165814513719034,0.39386418166735304,1,1.0,4,1,0.6829313360348731,0.007793963469837295,0.28906715436752006,0.39386418166735304,1,0.8001680778135621,0.8001680778135621,0.8001680778135621
trait_ou,mean,25,22,9.629312444521073,0.15312559328523845,0.6907252995047104,0.6840120137407124,0.006713285763997989,0.3062511865704769,0.2995379008064789,1,0.9819669271111384,4,0,0.6586524135690603,0.03207288593565005,0.37477953824694715,0.2838728753221132,1,0.7332386088464886,0.7200160635682324,0.7200160635682324
trait_ou,mean,25,23,14.978559751094908,0.23364464123887901,0.6907252995047104,0.6374481630562931,0.05327713644841725,0.46728928247775803,0.4140121460293408,1,1.0,4,1,0.6374481630562931,0.05327713644841725,0.22343601702695237,0.4140121460293408,1,0.7021884984527301,0.7021884984527301,0.7021884984527302
trait_ou,mean,25,24,12.658722095783274,0.19335092503913925,0.6907252995047104,0.6872682545622186,0.0034570449424917715,0.3867018500782785,0.38324480513578674,1,1.0,4,1,0.6872682545622186,0.0034570449424917715,0.3040234494264319,0.38324480513578674,1,0.7927338551138469,0.7927338551138469,0.7927338551138469
trait_ou,mean,25,25,12.907853020510327,0.2067406788791213,0.6907252995047104,0.6546052057636944,0.03612009374101599,0.4134813577582426,0.3773612640172266,1,1.0,4,1,0.6546052057636944,0.03612009374101599,0.2772439417464678,0.3773612640172266,1,0.7909825578118169,0.7909825578118169,0.7909825578118169
trait_ou,mean,25,26,10.654590474549408,0.15048465209407846,0.6907252995047104,0.6457649311489991,0.04496036835571127,0.3009693041881569,0.25600893583244566,1,0.991385698994058,4,0,0.6907252995047104,0.0,0.3851021997641133,0.3056230997405971,1,0.7430584307183086,0.7366575017310982,0.7366575017310982
trait_ou,mean,25,27,9.863030514909108,0.14184350579291233,0.6907252995047104,0.6660825106684989,0.024642788836211516,0.28368701158582466,0.25904422274961314,1,1.0,4,1,0.6660825106684989,0.024642788836211516,0.40703828791888574,0.25904422274961314,1,0.7728312231222034,0.7728312231222034,0.7728312231222034
trait_ou,mean,25,28,11.084867827192975,0.18222162774744322,0.6907252995047104,0.6615649917460967,0.02916030775861367,0.36444325549488643,0.33528294773627276,1,1.0,4,1,0.6615649917460967,0.02916030775861367,0.32628204400982397,0.33528294773627276,1,0.747113631994647,0.747113631994647,0.747113631994647
trait_ou,mean,25,29,23.8774575021113,0.38023787042610074,0.6907252995047104,0.6588896672959884,0.03183563220872199,0.7604757408522015,0.7286401086434795,1,1.0,4,1,0.6588896672959884,0.03183563220872199,-0.06975044134749109,0.7286401086434795,1,0.6321705781039982,0.6321705781039982,0.6321705781039982
trait_ou,mean,25,30,14.34281496039359,0.20111973455462778,0.6907252995047104,0.6417635916971364,0.04896170780757403,0.40223946910925557,0.35327776130168154,1,1.0,4,1,0.6417635916971364,0.04896170780757403,0.28848583039545483,0.35327776130168154,1,0.7726941818519808,0.7726941818519808,0.7726941818519808
trait_ou,mean,25,31,11.55913368615019,0.1904349717873136,0.6907252995047104,0.6677960306952395,0.022929268809470882,0.3808699435746272,0.35794067476515634,1,1.0,4,1,0.6677960306952395,0.022929268809470882,0.3098553559300832,0.35794067476515634,1,0.7789165916957571,0.7789165916957571,0.7789165916957573
trait_ou,mean,25,32,12.21960264424073,0.1941968261397103,0.6907252995047104,0.6585570479557734,0.03216825154893699,0.3883936522794206,0.3562254007304836,1,1.0,4,1,0.6585570479557734,0.03216825154893699,0.3023316472252898,0.3562254007304836,1,0.7300637014605303,0.7300637014605303,0.7300637014605302
trait_ou,mean,25,33,10.800884574874816,0.162918619551515,0.6907252995047104,0.6455425744449119,0.04518272505979848,0.32583723910303,0.2806545140432315,1,1.0,4,1,0.6455425744449119,0.04518272505979848,0.3648880604016804,0.2806545140432315,1,0.7733224826403776,0.7733224826403776,0.7733224826403777
trait_ou,mean,25,34,12.789348935245702,0.1826728551103442,0.6907252995047104,0.6840120137407124,0.006713285763997989,0.3653457102206884,0.3586324244566904,1,1.0,4,1,0.6840120137407124,0.006713285763997989,0.325379589284022,0.3586324244566904,1,0.7772888377080617,0.7772888377080617,0.7772888377080617
trait_ou,mean,25,35,13.332353162604996,0.24464993738384916,0.6907252995047104,0.662167657943461,0.028557641561249403,0.4892998747676983,0.4607422332064489,1,1.0,4,1,0.662167657943461,0.028557641561249403,0.20142542473701208,0.4607422332064489,1,0.6906334034650756,0.6906334034650756,0.6906334034650757
trait_ou,mean,25,36,12.448904116673294,0.20758451685442647,0.6907252995047104,0.6728679231203598,0.017857376384350587,0.41516903370885294,0.39731165732450235,1,1.0,4,1,0.6728679231203598,0.017857376384350587,0.27555626579585746,0.39731165732450235,1,0.732892723550925,0.732892723550925,0.732892723550925
trait_ou,mean,25,37,10.529625473922932,0.14562130954521169,0.6907252995047104,0.6618618041001527,0.028863495404557682,0.29124261909042337,0.2623791236858657,1,1.0,4,1,0.6618618041001527,0.028863495404557682,0.39948268041428703,0.2623791236858657,1,0.735537716736052,0.735537716736052,0.735537716736052
trait_ou,mean,25,38,20.009258405757873,0.342450266747057,0.6907252995047104,0.6695730309053692,0.021152268599341162,0.684900533494114,0.6637482648947728,1,1.0,4,1,0.6695730309053692,0.021152268599341162,0.005824766010596449,0.6637482648947728,1,0.6454809187966579,0.6454809187966579,0.6454809187966579
trait_ou,mean,25,39,15.783489052793783,0.31750321729511094,0.6907252995047104,0.6179328351125707,0.07279246439213971,0.6350064345902219,0.5622139701980822,1,1.0,4,1,0.6179328351125707,0.07279246439213971,0.05571886491448852,0.5622139701980822,1,0.7640133289268534,0.7640133289268534,0.7640133289268534
trait_ou,mean,25,40,13.400313385379011,0.24695954543650694,0.6907252995047104,0.6613972782007022,0.029328021304008245,0.4939190908730139,0.46459106956900564,1,1.0,4,1,0.6613972782007022,0.029328021304008245,0.1968062086316965,0.46459106956900564,1,0.7443684388075668,0.7443684388075668,0.7443684388075668
trait_ou,mean,25,41,14.55448253651173,0.1661091507455218,0.6907252995047104,0.662648279513962,0.02807701999074841,0.3322183014910436,0.3041412815002952,1,1.0,4,1,0.662648279513962,0.02807701999074841,0.3585069980136668,0.3041412815002952,1,0.7674911606401961,0.7674911606401961,0.7674911606401961
trait_ou,mean,25,42,12.459086778601879,0.16828202506541917,0.6907252995047104,0.6595682883637046,0.031157011141005775,0.33656405013083834,0.30540703898983257,1,1.0,4,1,0.6595682883637046,0.031157011141005775,0.35416124937387206,0.30540703898983257,1,0.7930745151273472,0.7930745151273472,0.7930745151273471
trait_ou,mean,25,43,17.05452967387793,0.21010001130582895,0.6907252995047104,0.6655403978951205,0.02518490160958986,0.4202000226116579,0.39501512100206804,1,0.9786025386048822,4,0,0.6285504416437762,0.06217485786093424,0.2602411158432996,0.36830932580047654,1,0.7988405193916561,0.7817473602171173,0.7817473602171173
trait_ou,mean,25,44,13.140764329791622,0.20721178601616297,0.6907252995047104,0.6714951639172988,0.0192301355874116,0.41442357203232594,0.39519343644491434,1,1.0,4,1,0.6714951639172988,0.0192301355874116,0.27630172747238446,0.39519343644491434,1,0.7817527328772874,0.7817527328772874,0.7817527328772874
trait_ou,mean,25,45,18.254560269056203,0.246482421121336,0.6907252995047104,0.6872682545622187,0.0034570449424916605,0.492964842242672,0.48950779730018035,1,1.0,4,1,0.6872682545622187,0.0034570449424916605,0.1977604572620384,0.48950779730018035,1,0.7202599821121505,0.7202599821121505,0.7202599821121505
trait_ou,mean,25,46,17.554233844870367,0.33213181720750773,0.6907252995047104,0.6842953625099731,0.006429936994737262,0.6642636344150155,0.6578336974202782,1,0.998219694110169,4,0,0.5925222279478579,0.09820307155685248,0.025823259001106158,0.5666989689467518,1,0.6660456899068627,0.664859924842225,0.664859924842225
trait_ou,mean,25,47,9.3885467748332,0.12595064308345694,0.6907252995047104,0.6813681950760045,0.009357104428705854,0.2519012861669139,0.24254418173820802,1,1.0,4,1,0.6813681950760045,0.009357104428705854,0.4388240133377965,0.24254418173820802,1,0.7711683881077139,0.7711683881077139,0.7711683881077139
trait_ou,mean,25,48,9.682904722069607,0.15535602429597573,0.6907252995047104,0.645764931148999,0.04496036835571138,0.31071204859195145,0.2657516802362401,1,1.0,4,1,0.645764931148999,0.04496036835571138,0.38001325091275895,0.2657516802362401,1,0.757177692255153,0.757177692255153,0.757177692255153
trait_ou,mean,25,49,9.33884798361769,0.21584045687668169,0.6907252995047104,0.6585570479557734,0.03216825154893699,0.43168091375336337,0.3995126622044264,1,0.9890279745551489,4,0,0.6416977109808792,0.049027588523831156,0.25383393717465813,0.3878637738062211,1,0.6945741480274404,0.6869532628019476,0.6869532628019476
trait_ou,mean,25,50,15.488369915490352,0.18575766923042158,0.6907252995047104,0.6906606959447911,6.460355991932953e-05,0.37151533846084317,0.37145073490092384,1,1.0,4,1,0.6906606959447911,6.460355991932953e-05,0.31920996104386723,0.37145073490092384,1,0.77141235850659,0.77141235850659,0.77141235850659
trait_ou,mean,25,51,20.21009383996125,0.4137968115388542,0.6907252995047104,0.5481701635743728,0.14255513593033764,0.8275936230777085,0.6850384871473708,1,1.0,4,1,0.5481701635743728,0.14255513593033764,-0.13686832357299805,0.6850384871473708,1,0.6611813734583342,0.6611813734583342,0.6611813734583343
trait_ou,mean,25,52,9.193704469132788,0.15210901563586599,0.6907252995047104,0.6829313360348731,0.007793963469837295,0.30421803127173197,0.2964240678018947,1,1.0,4,1,0.6829313360348731,0.007793963469837295,0.38650726823297843,0.2964240678018947,1,0.7725763092013902,0.7725763092013902,0.77257630920139
trait_ou,mean,25,53,10.516492551598873,0.17893356729749543,0.6907252995047104,0.6655403978951205,0.02518490160958986,0.35786713459499087,0.332682232985401,1,0.9731110871583158,4,0,0.6374481630562931,0.05327713644841725,0.3190966416293052,0.31835152142698797,1,0.7785939178929698,0.7576583738956804,0.7576583738956804
trait_ou,mean,25,54,12.440070436585037,0.2519139651407596,0.6907252995047104,0.6835744792765822,0.007150820228128185,0.5038279302815192,0.496677110053391,1,1.0,4,1,0.6835744792765822,0.007150820228128185,0.18689736922319122,0.496677110053391,1,0.7904147718529774,0.7904147718529774,0.7904147718529774
trait_ou,mean,25,55,13.103284610785135,0.1411155301157706,0.6907252995047104,0.6775413977616256,0.013183901743084814,0.2822310602315412,0.2690471584884564,1,1.0,4,1,0.6775413977616256,0.013183901743084814,0.4084942392731692,0.2690471584884564,1,0.7601395832138974,0.7601395832138974,0.7601395832138974
