label,m,rep,selected_level,adaptive_regret,theorem_bound,bound_satisfied,selected_level_oracle,adaptive_regret_oracle,theorem_bound_oracle,bound_satisfied_oracle,eps_boot_valid,eps_boot_L1,eps_boot_L2,eps_boot_L3,eps_boot_L4,eps_true_L1,eps_true_L2,eps_true_L3,eps_true_L4,regret_fixed_L1,regret_fixed_L2,regret_fixed_L3,regret_fixed_L4
mean,25,28,2,0.06962668007635997,0.32780898314468376,True,2,0.06962668007635997,0.2976314135949042,True,False,0.14522595795726972,0.18436637241794626,0.22667443484703917,0.28881680117997016,0.13013717318237994,0.18025140588182137,0.23619803604808015,0.23619803604808015,0.037357067230144314,0.06962668007635997,0.05887933064952078,0.07782913053127449
mean,25,29,1,0.037357067230144314,0.37360516499791435,True,1,0.037357067230144314,0.19152647829687142,True,True,0.16812404888388502,0.2571885914332963,0.2765203972554986,0.32037014441247835,0.07708470553336355,0.20889858270815803,0.22032800313081896,0.2665830256868273,0.037357067230144314,0.037357067230144314,0.02849871235763901,0.01679455074048508
mean,50,0,2,0.06962668007635997,0.30866219653015825,True,1,0.037357067230144314,0.11738335008055123,True,True,0.13565256465000697,0.13974537972440404,0.17733618876481114,0.20658514684444565,0.04001314142520346,0.08577834415450142,0.12117081278513181,0.1689893090473218,0.037357067230144314,0.06962668007635997,0.017039379067798843,0.0454027158040885
mean,50,1,3,0.0224083204338823,0.31360956474646334,True,1,0.037357067230144314,0.10211822916827096,True,True,0.13812624875815951,0.1411173528744398,0.1522555352749603,0.24361457533853526,0.03238058096906332,0.12012644306843451,0.12012644306843451,0.1404245528409036,0.037357067230144314,0.09771083735385,0.0224083204338823,0.047688754950949486
mean,50,2,3,0.016551438629055726,0.2961079774510598,True,3,0.016551438629055726,0.28880223408528904,True,True,0.12937545511045775,0.1553235275526081,0.1983322758219333,0.22586203949547073,0.12572258342757237,0.12572258342757237,0.14314309924945634,0.21462752538183366,0.12733713397915836,0.06962668007635997,0.016551438629055726,0.016551438629055726
mean,50,3,3,0.016571980632732575,0.3699793826823404,True,3,0.016571980632732575,0.09865778948014448,True,True,0.17100578263678745,0.17519231756847722,0.1769072569424587,0.22256308917094064,0.03065036112500008,0.07850757936087716,0.1048221878322555,0.11544246497353566,0.037357067230144314,0.09771083735385,0.016571980632732575,0.031006016288466554
mean,50,4,1,0.037357067230144314,0.25472658298392314,True,1,0.037357067230144314,0.1831739538769671,True,True,0.10868475787688943,0.18996075968326745,0.23221713566025554,0.25269887340033176,0.0729084433234114,0.127412804600484,0.19649778748170393,0.20190848559100522,0.037357067230144314,0.037357067230144314,0.058638701972667406,0.024447169241110567
mean,50,5,1,0.037357067230144314,0.21978780261584177,True,1,0.037357067230144314,0.1809637417941773,True,True,0.09121536769284873,0.14736405324752772,0.18145109354414976,0.19991195272603293,0.07180333728201649,0.10517229199257272,0.1272396286994772,0.16520425520826865,0.037357067230144314,0.06962668007635997,0.0223642176848442,0.025231741916855954
mean,50,6,3,0.06001308537811989,0.3808163047139894,True,3,0.06001308537811989,0.22611293304847513,True,True,0.17172961874192255,0.17965584419847255,0.1877227398992319,0.23813655851139132,0.09877680364154534,0.09877680364154534,0.10497403212552608,0.14821377381941692,0.037357067230144314,0.06962668007635997,0.06001308537811989,0.03487966227041084
mean,50,7,4,0.01154105830094776,0.3155918260104089,True,4,0.01154105830094776,0.20668589663768244,True,True,0.1391173793901323,0.18349876033031992,0.20664814717864818,0.22948193944496126,0.08466441470376906,0.08474080925287253,0.10147047744242116,0.12669398209623936,0.12733713397915836,0.06962668007635997,0.017039379067798843,0.01154105830094776
mean,50,8,1,0.037357067230144314,0.264347259662869,True,1,0.037357067230144314,0.1726143894617408,True,True,0.11349509621636233,0.17920768163490908,0.21106577641069144,0.24269604359770164,0.06762866111579824,0.14528010417594517,0.17640274373316478,0.20202676518523233,0.037357067230144314,0.037357067230144314,0.0245256835944887,0.013093676484002947
mean,50,9,3,0.020908694686833207,0.26721790026667624,True,1,0.037357067230144314,0.06704720073283166,True,False,0.11493041651826598,0.13336496418127985,0.20272917680902514,0.20814706761664084,0.014845066751343672,0.07082939468031402,0.27232295194760464,0.27232295194760464,0.037357067230144314,0.06962668007635997,0.020908694686833207,0.0387682334849665
mean,50,10,4,0.006130543843000269,0.2596001454616266,True,4,0.006130543843000269,0.09200249334664534,True,True,0.11112153911574113,0.14931100300251807,0.1842614877017294,0.20035535711712268,0.027322713058250514,0.03610478814069806,0.15570838512613916,0.15570838512613916,0.037357067230144314,0.06962668007635997,0.016571980632732575,0.006130543843000269
mean,50,11,1,0.037357067230144314,0.2569526945315418,True,1,0.037357067230144314,0.15670522022555244,True,True,0.10979781365069874,0.1296972116976855,0.14611731490629892,0.21022509955051147,0.059674076497704065,0.059674076497704065,0.11961591671134436,0.16935872254644857,0.037357067230144314,0.037357067230144314,0.036838313441200365,0.03470403271076283
mean,50,12,3,0.03941878148621747,0.31906757050406076,True,3,0.03941878148621747,0.11766779654024395,True,True,0.14085525163695822,0.180657954009586,0.18739004247287283,0.22797945215019802,0.04015536465504982,0.06797502803998667,0.11526836103480942,0.14515441517246558,0.037357067230144314,0.037357067230144314,0.03941878148621747,0.03941878148621747
mean,50,13,3,0.0223642176848442,0.31139651565898296,True,3,0.0223642176848442,0.1221368950487648,True,True,0.13701972421441933,0.1593720495420039,0.1773125392252716,0.25466628106671013,0.04238991390931024,0.04238991390931024,0.10531088793955096,0.1949797137811753,0.037357067230144314,0.037357067230144314,0.0223642176848442,0.034491301901075744
mean,50,14,4,0.031006016288466554,0.2607261373383827,True,4,0.031006016288466554,0.0997050421199196,True,True,0.1116845350541192,0.18603845909330732,0.20798086209132782,0.2179797026899629,0.03117398744488764,0.12026779910227409,0.12026779910227409,0.14343802692300522,0.037357067230144314,0.06962668007635997,0.0245256835944887,0.031006016288466554
mean,50,15,3,0.02849871235763901,0.2869266261497573,True,1,0.037357067230144314,0.22467602187824498,True,False,0.12478477945980648,0.13364055822590065,0.17067961254030106,0.2097924864910282,0.09365947732405033,0.09365947732405033,0.2568941436108428,0.2568941436108428,0.037357067230144314,0.037357067230144314,0.02849871235763901,0.02849871235763901
