alpha,label,protocol,model,seed_index,seed_key,n_subjects_train,n_subjects_test,n_horizons,r2_total,r2_between,r2_within,within_squared_corr,bayes_r2_total,bayes_r2_between,bayes_r2_within,bayes_within_squared_corr,hyperparameter
0.35,occupation,same_time,mlp,2,"[20260802, 777, 2]",2500,5000,2,0.3626091807956152,0.4711085134657781,-0.7912472601199436,0.07404547809014905,0.36260511133374873,0.47047561372557245,-0.7845639164056373,0.07381214345057156,weight_decay=0.01
0.35,occupation,dispersed,ridge,2,"[20260802, 777, 2]",2500,5000,2,0.6919958861581222,0.7890794421120566,-0.3404573427015849,0.21780120917472348,0.7051614624193883,0.803652799323957,-0.34226307619229446,0.2325987927461526,cv-alpha
0.35,occupation,dispersed,gp,2,"[20260802, 777, 2]",2500,5000,2,0.696997902019529,0.7908098166135855,-0.3006624450541058,0.23027995819104213,0.7051614624193883,0.803652799323957,-0.34226307619229446,0.2325987927461526,reg=3
0.35,occupation,dispersed,mlp,2,"[20260802, 777, 2]",2500,5000,2,0.702652961665858,0.7999994932401242,-0.3325969306004919,0.22873053940846677,0.7051614624193883,0.803652799323957,-0.34226307619229446,0.2325987927461526,weight_decay=0.01
0.35,mean,same_time,ridge,2,"[20260802, 777, 2]",2500,5000,2,0.38403518433647,0.48734682020959486,-0.9265004981816214,0.09774708290361245,0.38421806970312067,0.4882917401028529,-0.9359842242279983,0.09774708290361242,cv-alpha
0.35,mean,same_time,gp,2,"[20260802, 777, 2]",2500,5000,2,0.3798906300475502,0.48506328437644874,-0.954252568424615,0.09712442588317391,0.38421806970312067,0.4882917401028529,-0.9359842242279983,0.09774708290361242,reg=0.1
0.35,mean,same_time,mlp,2,"[20260802, 777, 2]",2500,5000,2,0.38400332048141783,0.4861868386689615,-0.9122218880175674,0.09755068478604789,0.38421806970312067,0.4882917401028529,-0.9359842242279983,0.09774708290361242,weight_decay=0.01
0.35,mean,dispersed,ridge,2,"[20260802, 777, 2]",2500,5000,2,0.7317866359123961,0.8195818747360428,-0.3819194075664658,0.293082834867069,0.731559766920622,0.8172922819881154,-0.3559800750188842,0.2928959503980206,cv-alpha
0.35,mean,dispersed,gp,2,"[20260802, 777, 2]",2500,5000,2,0.7195066331810112,0.8087223253030188,-0.4122182396109262,0.27570372527313924,0.731559766920622,0.8172922819881154,-0.3559800750188842,0.2928959503980206,reg=1
0.35,mean,dispersed,mlp,2,"[20260802, 777, 2]",2500,5000,2,0.7313259972390135,0.8185269071610044,-0.3748408254522848,0.29247255877427086,0.731559766920622,0.8172922819881154,-0.3559800750188842,0.2928959503980206,weight_decay=0.01
0.35,occupation,same_time,ridge,3,"[20260802, 777, 3]",2500,5000,2,0.340305187575764,0.44839102416620447,-0.7479178350015827,0.07018992308161554,0.3423298078249961,0.45312223418939035,-0.7731435317004391,0.07403022721370058,cv-alpha
0.35,occupation,same_time,gp,3,"[20260802, 777, 3]",2500,5000,2,0.3401477780011273,0.44875105271024596,-0.7532848825016627,0.07208762744612032,0.3423298078249961,0.45312223418939035,-0.7731435317004391,0.07403022721370058,reg=1
0.35,occupation,same_time,mlp,3,"[20260802, 777, 3]",2500,5000,2,0.3427098568414012,0.44432270712986666,-0.680342252128378,0.07421858374281302,0.3423298078249961,0.45312223418939035,-0.7731435317004391,0.07403022721370058,weight_decay=0.1
0.35,occupation,dispersed,ridge,3,"[20260802, 777, 3]",2500,5000,2,0.6802583749956166,0.7767593641620498,-0.2913268153038444,0.2355133796582077,0.6919529951487873,0.7902886838903816,-0.2981042020313607,0.25027247291075655,cv-alpha
