config,kernel,alpha,nu2,arm,label,beta,m,n_rep,I_true_ref,bias,bias_se,rmse,sd,coverage,ci_width,uniform_err_mean,uniform_err_sd,uniform_err_median,uniform_err_q90,k_err_mean,r_eff_mean,r_eff_true,kappa,bound_mean,bound_ratio_median,bound_ratio_mean,bound_valid_frac,bound_nonvacuous_frac,small_pert_frac
ou_alpha0.3_nu0.25,ou,0.3,0.25,known,occ_c0,0.5,250,200,0.5910152448580639,-0.012321630151901464,0.0018665960498076553,0.0290718859281368,0.026397654491100313,nan,nan,0.07684717416105345,0.018758391419899576,0.07416884154869341,0.10310676695998741,4.958336134439391,2.8400352598517964,2.726308886174495,46.949925831627674,inf,inf,inf,1.0,0.0,0.0
ou_alpha0.3_nu0.25,ou,0.3,0.25,known,occ_c0,0.5,500,200,0.5910152448580639,-0.005090321916398116,0.001287406595095753,0.018860994398246213,0.018206678670729816,nan,nan,0.05408485862824584,0.012347479961216816,0.051724863676194666,0.07167467101483721,3.497486809954586,2.7810750647113824,2.726308886174495,46.949925831627674,inf,inf,inf,1.0,0.0,0.0
ou_alpha0.3_nu0.25,ou,0.3,0.25,known,occ_c0,0.5,1000,200,0.5910152448580639,-0.0021537664077269803,0.0009635535909833631,0.013762172021732,0.013626705564419701,nan,nan,0.036944333947693274,0.0081312190560668,0.03595531141345232,0.047583135399117404,2.376524771519799,2.7413458538033217,2.726308886174495,46.949925831627674,inf,inf,inf,1.0,0.0,0.0
ou_alpha0.3_nu0.25,ou,0.3,0.25,known,occ_c1,0.5,25,200,0.5503696584710668,-0.06575755101589563,0.00599954063190936,0.10717722979532761,0.08484631729654667,nan,nan,0.23812590447345172,0.06957057912906404,0.22706548157271106,0.33158573556603355,15.643111752761678,3.29297231858729,2.726308886174495,46.949925831627674,inf,inf,inf,1.0,0.0,0.0
ou_alpha0.3_nu0.25,ou,0.3,0.25,known,occ_c1,0.5,50,200,0.5503696584710668,-0.04280735664601231,0.00392344406697427,0.06996970086406928,0.05548587810727266,nan,nan,0.16923534912113855,0.047935207732522855,0.16228757665193916,0.23079587199689933,11.13687946778843,3.1034405953332875,2.726308886174495,46.949925831627674,inf,inf,inf,1.0,0.0,0.0
ou_alpha0.3_nu0.25,ou,0.3,0.25,known,occ_c1,0.5,100,200,0.5503696584710668,-0.02179920996669449,0.003119392026225255,0.04910800618243725,0.04411486509846245,nan,nan,0.1190362487511669,0.0353115197879111,0.11186634792827499,0.16653725125864763,7.867152981545198,2.9598098632960874,2.726308886174495,46.949925831627674,inf,inf,inf,1.0,0.0,0.0
ou_alpha0.3_nu0.25,ou,0.3,0.25,known,occ_c1,0.5,250,200,0.5503696584710668,-0.012060553451747044,0.0018639483386457072,0.028928244467670797,0.026360210200755577,nan,nan,0.07578742876132505,0.01800209058055443,0.07247986617343721,0.10027617085733975,4.958336134439391,2.8400352598517964,2.726308886174495,46.949925831627674,inf,inf,inf,1.0,0.0,0.0
ou_alpha0.3_nu0.25,ou,0.3,0.25,known,occ_c1,0.5,500,200,0.5503696584710668,-0.004970464055765055,0.001291678532634619,0.018887132281842252,0.018267092990780567,nan,nan,0.053677401009378546,0.012016749283900877,0.051263457574270144,0.07076636556728134,3.497486809954586,2.7810750647113824,2.726308886174495,46.949925831627674,inf,inf,inf,1.0,0.0,0.0
ou_alpha0.3_nu0.25,ou,0.3,0.25,known,occ_c1,0.5,1000,200,0.5503696584710668,-0.0021240109994406582,0.0009692859756800096,0.01383744802892082,0.013707773726247076,nan,nan,0.03674440365797677,0.008086201599067143,0.03555662910346635,0.04747331810670885,2.376524771519799,2.7413458538033217,2.726308886174495,46.949925831627674,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,mean,1.0,25,200,0.2736271420758626,0.020539214157161968,0.007269346799719969,0.10458344273458851,0.10280408833757436,nan,nan,0.24355681402367524,0.04801553080334824,0.23659154795209458,0.315965191924613,11.14258554131252,6.572679171697303,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,mean,1.0,50,200,0.2736271420758626,-0.002383964338496961,0.005480912904330875,0.07735453530772778,0.07751181363490434,nan,nan,0.19293124435927575,0.03315216970410044,0.18980716188793267,0.23677678744888672,7.8481891140578455,7.728346743830075,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,mean,1.0,100,200,0.2736271420758626,-0.005531473836833818,0.004654757171112371,0.06589600369438169,0.06582820720940537,nan,nan,0.15179359625423178,0.02729759741210433,0.14914139235506177,0.18856081315335854,5.860838329746491,8.46247502233611,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,mean,1.0,250,200,0.2736271420758626,-0.012611518289256694,0.0026359970102577917,0.039265735201824144,0.037278627222815,nan,nan,0.10232964960592004,0.019278785109628594,0.09916104955675724,0.13085093420839475,3.814967612334728,9.29527157304635,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,mean,1.0,500,200,0.2736271420758626,-0.005232367295730816,0.0021096871244718025,0.03021726063670716,0.02983548143791919,nan,nan,0.07264046729039976,0.014904405535900096,0.07111630243697949,0.09080876076768458,2.770658453893436,9.604121673620863,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,mean,1.0,1000,200,0.2736271420758626,-0.005067089492066743,0.001379253058329489,0.02010574188394827,0.01950558381034133,nan,nan,0.053133217358714555,0.01038301106281371,0.053319819542538754,0.0663542608387294,1.996929697886257,9.854486348343984,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,sigmoid,1.0,25,200,0.26623630130422676,0.021182983469100143,0.00711379652974785,0.10256379917356818,0.10060427532332068,nan,nan,0.23814772979741153,0.047631711230394204,0.22972918728858505,0.3106630440853054,11.14258554131252,6.572679171697303,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,sigmoid,1.0,50,200,0.26623630130422676,-0.0011903493859604173,0.005360409326639197,0.07562724755890322,0.07580763569604382,nan,nan,0.1883476800096642,0.03264157472511041,0.1851722483457876,0.2304032420330615,7.8481891140578455,7.728346743830075,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,sigmoid,1.0,100,200,0.26623630130422676,-0.00448781142001815,0.004557039449549878,0.06444141177649401,0.06444626993822661,nan,nan,0.14785025389941484,0.026843636797012654,0.1449004577724731,0.18485916766806718,5.860838329746491,8.46247502233611,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,sigmoid,1.0,250,200,0.26623630130422676,-0.011719987711917174,0.002572241723560793,0.038131708345790945,0.036376991311616196,nan,nan,0.09935470804651349,0.018833885723768047,0.09616937964521528,0.1268950489434344,3.814967612334728,9.29527157304635,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,sigmoid,1.0,500,200,0.26623630130422676,-0.004683462125274323,0.0020555455851369708,0.029372828946860424,0.029069804445768437,nan,nan,0.0705207108755616,0.014515915928133425,0.06929301477891117,0.08817908632364378,2.770658453893436,9.604121673620863,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
matern32_alpha0_nu0.25,matern32,0.0,0.25,known,sigmoid,1.0,1000,200,0.26623630130422676,-0.00467589313586718,0.0013431201337588167,0.01951548983925338,0.01899458709058084,nan,nan,0.05153619154162436,0.01009978503585314,0.05163141453111525,0.06430315289522685,1.996929697886257,9.854486348343984,10.108976188622627,12.662014195271372,inf,inf,inf,1.0,0.0,0.0
