label,budget,method,fold,r2_heldout,selection_score_train,r2_heldout_sd_over_draws,n_test_records,n_train_records,cost_epochs,runtime_s
N3,8,random,2,0.5681677593518302,0.40205112058788384,0.11841387513245781,40,157,8.0,0.0
N3,8,imse,2,0.6245958613752242,0.5829906383133132,nan,40,157,8.0,0.06387095799436793
N3,8,kernel_quadrature,2,0.7305101785970399,0.7415450511710634,nan,40,157,8.0,0.0919426249965909
N3,8,label_aware,2,0.793345897862043,0.7832986908137439,nan,40,157,8.0,0.03758675000426592
N3,16,consecutive,2,0.6184907192220721,0.3770311952328596,nan,40,157,16.0,0.0
N3,16,uniform,2,0.7495656756163795,0.6501580974763771,nan,40,157,16.0,0.0
N3,16,random,2,0.6922360958289276,0.6329825485776193,0.08944051134530132,40,157,16.0,0.0
N3,16,imse,2,0.6455531402923492,0.7869403854761315,nan,40,157,16.0,0.06387095799436793
N3,16,kernel_quadrature,2,0.7644838044967854,0.8749033886254683,nan,40,157,16.0,0.0919426249965909
N3,16,label_aware,2,0.8287788956229342,0.9086316685705441,nan,40,157,16.0,0.12092649999976857
N3,32,consecutive,2,0.6817386863134359,0.6009145531002961,nan,40,157,32.0,0.0
N3,32,uniform,2,0.8749210766438603,0.8599411849722847,nan,40,157,32.0,0.0
N3,32,random,2,0.7510068950709876,0.8021110177603085,0.16697500634489146,40,157,32.0,0.0
N3,32,imse,2,0.8093792770511137,0.8925187115064638,nan,40,157,32.0,0.06387095799436793
N3,32,kernel_quadrature,2,0.8042745588520834,0.9501171856453587,nan,40,157,32.0,0.0919426249965909
N3,32,label_aware,2,0.9081257007216799,0.9731437895019702,nan,40,157,32.0,0.37039350000122795
N3,64,consecutive,2,0.8486577435188446,0.9018906502165773,nan,40,157,64.0,0.0
N3,64,uniform,2,0.9444394777214723,0.9612837419267395,nan,40,157,64.0,0.0
N3,64,random,2,0.8920917157528784,0.9375253719123879,0.03198867422065729,40,157,64.0,0.0
N3,64,imse,2,0.9103225896610054,0.9699372523201292,nan,40,157,64.0,0.06387095799436793
N3,64,kernel_quadrature,2,0.9212524855442021,0.9817216270387421,nan,40,157,64.0,0.0919426249965909
N3,64,label_aware,2,0.9213958752409582,0.9894675383990584,nan,40,157,64.0,0.09486154099431587
N3,4,consecutive,3,-0.18252072865338076,0.23058398689969428,nan,37,160,4.0,0.0
N3,4,uniform,3,-0.20019095620239136,0.09298980359669225,nan,37,160,4.0,0.0
N3,4,random,3,-0.08150581291284181,0.19147629559443838,0.22079977720426114,37,160,4.0,0.0
N3,4,imse,3,0.20186332959448894,0.4335584481274607,nan,37,160,4.0,0.07888174999970943
N3,4,kernel_quadrature,3,0.4360795163543557,0.5111915640828802,nan,37,160,4.0,0.07043520799925318
N3,4,label_aware,3,0.41950355094469216,0.5561942451516119,nan,37,160,4.0,0.012142042003688402
N3,8,consecutive,3,-0.046121347807128954,0.3012529811921264,nan,37,160,8.0,0.0
N3,8,uniform,3,0.22388359868919816,0.39171094178662696,nan,37,160,8.0,0.0
N3,8,random,3,0.12098341553912646,0.36531156491563777,0.1408994919195258,37,160,8.0,0.0
N3,8,imse,3,0.4229706662707643,0.5814583474839071,nan,37,160,8.0,0.07888174999970943
