family,family_title,label,method,objective_F,ceiling_I,relative_efficiency,cost,n_actions,times,widths,segments,runtime_s,n_evaluations,n_candidates,budget
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",mean,random,0.09625801588401506,0.5202844901016344,0.9629309419349094,4.0,4,2.955;4.591;6.227;8.682,0;0;0;0,1;1;1;1,0.0011924589998670854,20,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",mean,mutual_information,0.08404366406840472,0.4542646605015301,0.8407429122844539,4.0,4,0.500;4.591;7.045;9.500,0;0;0;0,1;1;1;1,0.00038745799975004047,42,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",mean,imse,0.09869503927303117,0.533456852524394,0.98731005681642,4.0,4,2.136;4.591;6.227;7.864,0;0;0;0,1;1;1;1,0.0005296660019666888,42,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",mean,linear_target,0.09936976566758099,0.5371038181814616,0.9940597795972748,4.0,4,2.136;4.591;7.045;8.682,0;0;0;0,1;1;1;1,0.005394082996645011,119,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",mean,kernel_quadrature,0.09869503927303117,0.533456852524394,0.98731005681642,4.0,4,2.136;4.591;6.227;7.864,0;0;0;0,1;1;1;1,0.0006265839983825572,42,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",mean,label_aware_greedy,0.09869503927303117,0.533456852524394,0.98731005681642,4.0,4,2.136;4.591;6.227;7.864,0;0;0;0,1;1;1;1,0.00046300000394694507,42,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",mean,label_aware,0.09936976566758099,0.5371038181814616,0.9940597795972748,4.0,4,2.136;4.591;7.045;8.682,0;0;0;0,1;1;1;1,0.0051369579960010014,119,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",mean,exhaustive,0.0999635713134263,0.5403133988572191,1.0,4.0,4,1.318;3.773;6.227;8.682,0;0;0;0,1;1;1;1,0.030067709005379584,495,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c0,same_time,0.006028351134693501,0.17582331353749028,0.3692182740051201,4.0,1,5.000,0,4,0.0,1,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c0,uniform,0.011636056568358333,0.33937804494901236,0.7126732710823818,4.0,4,0.039;3.346;6.654;9.961,0;0;0;0,1;1;1;1,0.0,1,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",occupation_c0,dispersed,0.016268530287174975,0.4744890995175172,0.9963982752534472,4.0,4,1.250;3.750;6.250;8.750,0;0;0;0,1;1;1;1,0.0,1,12,4.0
