repeat,fold,label_model,method,n_windows,width_minutes,total_minutes,n_train,n_test,ceiling_train,ceiling_test
0,2,indicator_linear,mutual_information,8,15.0,120.0,67,17,0.9942016293877619,0.9994325688052546
0,2,indicator_linear,imse,8,15.0,120.0,67,17,0.995616644821231,0.9988997266657113
0,2,indicator_linear,kernel_quadrature,8,15.0,120.0,67,17,0.9974631990149764,0.9999697925573238
0,2,indicator_linear,contiguous,16,15.0,240.0,67,17,0.9277853317619822,0.9995973072532066
0,2,indicator_linear,dispersed,16,15.0,240.0,67,17,0.9994203284136521,0.9999999731791122
0,2,indicator_linear,uniform,16,15.0,240.0,67,17,0.9992992096345892,0.9999999631543353
0,2,indicator_linear,random,16,15.0,240.0,67,17,0.9990315587812043,0.9999999632259022
0,2,indicator_linear,label_aware,16,15.0,240.0,67,17,0.9998162881234708,0.9999999995379439
0,2,indicator_linear,mutual_information,16,15.0,240.0,67,17,0.9982726914744514,0.9999999741428515
0,2,indicator_linear,imse,16,15.0,240.0,67,17,0.9996782021934385,0.9999999736750832
0,2,indicator_linear,kernel_quadrature,16,15.0,240.0,67,17,0.999785858465635,0.9999999804300472
0,2,indicator_linear,contiguous,32,15.0,480.0,67,17,0.9890052946224465,0.9997563600890376
0,2,indicator_linear,dispersed,32,15.0,480.0,67,17,0.9999933099704519,1.0
0,2,indicator_linear,uniform,32,15.0,480.0,67,17,0.9999733659935379,0.999999999737967
0,2,indicator_linear,random,32,15.0,480.0,67,17,0.9999320864934619,0.9999999906954526
0,2,indicator_linear,label_aware,32,15.0,480.0,67,17,0.9999756260916189,0.9999999927021364
0,2,indicator_linear,mutual_information,32,15.0,480.0,67,17,0.9999317045884369,0.9999999671941061
0,2,indicator_linear,imse,32,15.0,480.0,67,17,0.9999869762844033,0.9999999998535753
0,2,indicator_linear,kernel_quadrature,32,15.0,480.0,67,17,0.9999715621733213,1.0
0,3,indicator_linear,contiguous,1,15.0,15.0,67,17,0.721299274286195,0.7567777602516325
0,3,indicator_linear,dispersed,1,15.0,15.0,67,17,0.721299274286195,0.7567777602516325
0,3,indicator_linear,uniform,1,15.0,15.0,67,17,0.6016334940113992,0.8872355517817536
0,3,indicator_linear,random,1,15.0,15.0,67,17,0.9260853402133143,0.7471801542558648
0,3,indicator_linear,label_aware,1,15.0,15.0,67,17,0.9381385603536326,0.7576181129885331
0,3,indicator_linear,mutual_information,1,15.0,15.0,67,17,0.6016334940113992,0.8872355517817536
0,3,indicator_linear,imse,1,15.0,15.0,67,17,0.9381385603536326,0.7576181129885331
0,3,indicator_linear,kernel_quadrature,1,15.0,15.0,67,17,0.9381385603536326,0.7576181129885331
0,3,indicator_linear,contiguous,2,15.0,30.0,67,17,0.7320660065202502,0.7652148998960377
0,3,indicator_linear,dispersed,2,15.0,30.0,67,17,0.9203015214549913,0.9727364903851543
0,3,indicator_linear,uniform,2,15.0,30.0,67,17,0.8892342898803711,0.9494306618150387
0,3,indicator_linear,random,2,15.0,30.0,67,17,0.9551691892179375,0.9060871083347557
0,3,indicator_linear,label_aware,2,15.0,30.0,67,17,0.9760364951421502,0.9617524285316389
0,3,indicator_linear,mutual_information,2,15.0,30.0,67,17,0.8423601417462736,0.9788043222389379
0,3,indicator_linear,imse,2,15.0,30.0,67,17,0.9712004490100844,0.9013231691077453
0,3,indicator_linear,kernel_quadrature,2,15.0,30.0,67,17,0.9760364951421502,0.9617524285316389
0,3,indicator_linear,contiguous,4,15.0,60.0,67,17,0.7749397578822714,0.7753343543206029
0,3,indicator_linear,dispersed,4,15.0,60.0,67,17,0.9866025250203904,0.9962981633339377
0,3,indicator_linear,uniform,4,15.0,60.0,67,17,0.9747015636932972,0.9817776666378428
0,3,indicator_linear,random,4,15.0,60.0,67,17,0.9814912241618865,0.9936028019809686
0,3,indicator_linear,label_aware,4,15.0,60.0,67,17,0.9912535249292602,0.9875577478170531
0,3,indicator_linear,mutual_information,4,15.0,60.0,67,17,0.9443911267443242,0.9928398678012356
0,3,indicator_linear,imse,4,15.0,60.0,67,17,0.9847566545626967,0.9577038399829949
0,3,indicator_linear,kernel_quadrature,4,15.0,60.0,67,17,0.9912535249292602,0.9875577478170531
0,3,indicator_linear,contiguous,8,15.0,120.0,67,17,0.8465440555671079,0.9670783616306715
0,3,indicator_linear,dispersed,8,15.0,120.0,67,17,0.9962728517972133,0.9998964167118688
0,3,indicator_linear,uniform,8,15.0,120.0,67,17,0.9913103589087087,0.9998831166607445
0,3,indicator_linear,random,8,15.0,120.0,67,17,0.9934053991832704,0.9997492932784381
0,3,indicator_linear,label_aware,8,15.0,120.0,67,17,0.9981937152969446,0.9999452015662729
0,3,indicator_linear,mutual_information,8,15.0,120.0,67,17,0.991282461537192,0.999812873480513
0,3,indicator_linear,imse,8,15.0,120.0,67,17,0.9962809824355647,0.9958861979455318
0,3,indicator_linear,kernel_quadrature,8,15.0,120.0,67,17,0.9975453048470398,0.9999454024714878
